sample,cuda_ms,wall_ms,kind,phase,group,layout,host,weight_bytes,pinned_source_live_bytes,q,past,batch,semantic
148,0.1456640064716339,0.15413528308272362,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
149,0.12675200402736664,0.13657519593834877,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
150,0.1252799928188324,0.1338329166173935,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
151,0.1252480000257492,0.13373233377933502,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
152,0.1255040019750595,0.13384828343987465,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
153,0.12435200065374374,0.13272371143102646,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
154,0.12358400225639343,0.13201171532273293,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
155,0.1271360069513321,0.13570720329880714,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
156,0.12556800246238708,0.13391906395554543,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
157,0.12441600114107132,0.13260170817375183,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
158,0.12441600114107132,0.13273535296320915,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
159,0.12332800030708313,0.13156700879335403,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
160,0.12191999703645706,0.1303190365433693,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
