node,model,dtype,blocks,first_layer,batch,query_len,past_len,semantic,weight_bytes,pinned_weight_live_bytes,two_weight_slots_bytes,h2d_cuda_p50_ms,h2d_wall_p50_ms,compute_cuda_p50_ms,compute_wall_p50_ms,h2d_GBps,copy_slowdown,compute_slowdown,overlap_speedup,gpu_allocated_peak_bytes,gpu_reserved_peak_bytes,rss_sampled_peak_bytes
B,facebook/opt-125m,float16,1,0,1,1,256,decode_real_history,14175744,14175744,28351488,0.6008639931678772,0.6084890337660909,0.11481600254774094,0.12349197641015053,23.592267403580955,1.0054321942896538,1.1078595719770805,1.1542433109624246,94737408,180355072,1925156864
B,facebook/opt-125m,float16,1,0,4,1,256,decode_real_history,14175744,14175744,28351488,0.6008639931678772,0.6084890337660909,0.11769600212574005,0.12637488543987274,23.592267403580955,1.0058049812391348,1.0315388661945484,1.117556316135108,83609600,180355072,1925156864
B,facebook/opt-125m,float16,2,0,1,16,0,short_prefill_proxy,28351488,28351488,56702976,1.200879991054535,1.2082754401490092,0.2327679991722107,0.24169497191905975,23.60892696288791,1.0068882754881356,1.047429209113287,1.1408818750248295,102768640,165675008,1925156864
B,facebook/opt-125m,float16,2,0,4,16,0,short_prefill_proxy,28351488,28351488,56702976,1.200879991054535,1.2082754401490092,0.26311999559402466,0.271943979896605,23.60892696288791,1.0077942970671734,1.05247800334404,1.1792292410812266,103725568,167772160,1925156864
B,facebook/opt-125m,float16,2,0,1,32,0,short_prefill_proxy,28351488,28351488,56702976,1.200879991054535,1.2082754401490092,0.23660799860954285,0.24543190374970436,23.60892696288791,1.0073945437091383,1.041520184470895,1.142851568320007,103086592,167772160,1925156864
B,facebook/opt-125m,float16,2,0,4,32,0,short_prefill_proxy,28351488,28351488,56702976,1.200879991054535,1.2082754401490092,0.31916800141334534,0.32812519930303097,23.60892696288791,1.0078209009658456,1.0713855855655647,1.2490596522277448,105003520,167772160,1925156864
B,facebook/opt-125m,float16,2,0,1,64,0,short_prefill_proxy,28351488,28351488,56702976,1.200879991054535,1.2082754401490092,0.23999999463558197,0.24882995057851076,23.60892696288791,1.0072613256792196,1.0602666922966646,1.1662221057466875,103725568,167772160,1925156864
B,facebook/opt-125m,float16,2,0,4,64,0,short_prefill_proxy,28351488,28351488,56702976,1.200879991054535,1.2082754401490092,0.3829439878463745,0.39171241223812103,23.60892696288791,1.0084604864850457,1.0268238342630216,1.3028319608298573,107559424,169869312,1925156864
B,facebook/opt-125m,float16,2,0,1,128,0,short_prefill_proxy,28351488,28351488,56702976,1.200879991054535,1.2082754401490092,0.29900801181793213,0.3081334289163351,23.60892696288791,1.007367939810466,1.0402397318301404,1.217682126779383,173078016,264241152,1925156864
B,facebook/opt-125m,float16,2,0,4,128,0,short_prefill_proxy,28351488,28351488,56702976,1.200879991054535,1.2082754401490092,0.7259680032730103,0.7349173538386822,23.60892696288791,1.0090999727359673,1.0282767537715558,1.5931898486642757,121273856,270532608,1925156864
B,facebook/opt-125m,float16,2,0,1,256,0,short_prefill_proxy,28351488,28351488,56702976,1.200879991054535,1.2082754401490092,0.38176000118255615,0.39084884338080883,23.60892696288791,1.0082472582225528,1.0494551801988174,1.313401245597749,116998656,270532608,1925156864
B,facebook/opt-125m,float16,2,0,4,256,0,short_prefill_proxy,28351488,28351488,56702976,1.200879991054535,1.2082754401490092,1.1951040029525757,1.2044610921293497,23.60892696288791,1.0098993801837586,1.0038824932103998,1.866303072095253,136988160,291504128,1925156864
B,facebook/opt-125m,float16,2,0,1,1,32,decode_real_history,28351488,28351488,56702976,1.200879991054535,1.2082754401490092,0.21622399985790253,0.22488483227789402,23.60892696288791,1.003930477858136,1.0549800086792043,1.1523238851047988,111611392,291504128,1925156864
B,facebook/opt-125m,float16,2,0,4,1,32,decode_real_history,28351488,28351488,56702976,1.200879991054535,1.2082754401490092,0.22182400524616241,0.23080105893313885,23.60892696288791,1.0059023429448024,1.0255337151997632,1.1271887799988163,113542144,291504128,1925156864
B,facebook/opt-125m,float16,2,0,1,1,256,decode_real_history,28351488,28351488,56702976,1.200879991054535,1.2082754401490092,0.2189760059118271,0.22784085012972355,23.60892696288791,1.0040103888224314,1.0634224803951704,1.1564358393439413,179630080,314572800,1925156864
B,facebook/opt-125m,float16,2,0,4,1,256,decode_real_history,28351488,28351488,56702976,1.200879991054535,1.2082754401490092,0.22144000232219696,0.23033004254102707,23.60892696288791,1.0061421751059676,1.0297687433208391,1.1460204917796875,146433024,314572800,1925156864
B,facebook/opt-125m,float16,4,0,1,16,0,short_prefill_proxy,56702976,56702976,113405952,2.4007039070129395,2.4087659548968077,0.45983999967575073,0.46920101158320904,23.61931258342988,1.0063915182830314,1.0351078798185573,1.1591365368526394,186963968,291504128,1933553664
B,facebook/opt-125m,float16,4,0,4,16,0,short_prefill_proxy,56702976,56702976,113405952,2.4007039070129395,2.4087659548968077,0.49724799394607544,0.5062709096819162,23.61931258342988,1.0069713014294366,1.0737499126454295,1.1910524859176723,188215808,293601280,1933553664
B,facebook/opt-125m,float16,4,0,1,32,0,short_prefill_proxy,56702976,56702976,113405952,2.4007039070129395,2.4087659548968077,0.46326398849487305,0.4724077880382538,23.61931258342988,1.00659143323228,1.0434482545662276,1.1659053876001493,187380224,293601280,1935986688
B,facebook/opt-125m,float16,4,0,4,32,0,short_prefill_proxy,56702976,56702976,113405952,2.4007039070129395,2.4087659548968077,0.6273919939994812,0.6366469897329807,23.61931258342988,1.0077311371356965,1.101754568805624,1.2541321658483617,189886976,295698432,1935986688
B,facebook/opt-125m,float16,4,0,1,64,0,short_prefill_proxy,56702976,56702976,113405952,2.4007039070129395,2.4087659548968077,0.45814400911331177,0.4672874929383397,23.61931258342988,1.0063915182830314,1.084025954477146,1.179096011096634,188215808,295698432,1935986688
B,facebook/opt-125m,float16,4,0,4,64,0,short_prefill_proxy,56702976,56702976,113405952,2.4007039070129395,2.4087659548968077,0.7574719786643982,0.7665511220693588,23.61931258342988,1.0077177300228557,1.0331840971915063,1.3065510278854098,193229312,297795584,1935986688
B,facebook/opt-125m,float16,4,0,1,128,0,short_prefill_proxy,56702976,56702976,113405952,2.4007039070129395,2.4087659548968077,0.5882880091667175,0.5974110681563616,23.61931258342988,1.007184623491526,1.1059888539170109,1.235758379087451,320038400,436207616,1935986688
B,facebook/opt-125m,float16,4,0,4,128,0,short_prefill_proxy,56702976,56702976,113405952,2.4007039070129395,2.4087659548968077,1.4501760005950928,1.4597440604120493,23.61931258342988,1.007771060538378,1.021437394194045,1.5965145991740544,208516608,444596224,1935986688
B,facebook/opt-125m,float16,4,0,1,256,0,short_prefill_proxy,56702976,56702976,113405952,2.4007039070129395,2.4087659548968077,0.7544959783554077,0.7639465620741248,23.61931258342988,1.0071512546773445,1.0532275869936205,1.3143916513277696,202668544,444596224,1935986688
B,facebook/opt-125m,float16,4,0,4,256,0,short_prefill_proxy,56702976,56702976,113405952,2.4007039070129395,2.4087659548968077,2.3802878856658936,2.390062902122736,23.61931258342988,1.0077844676512189,1.0014116078376538,1.8982758831766768,227507712,486539264,1935986688
B,facebook/opt-125m,float16,4,0,1,1,32,decode_real_history,56702976,56702976,113405952,2.4007039070129395,2.4087659548968077,0.4193280041217804,0.4281757865101099,23.61931258342988,1.003419012398302,1.0322801987418475,1.1535156865797596,195911168,486539264,1935986688
B,facebook/opt-125m,float16,4,0,4,1,32,decode_real_history,56702976,56702976,113405952,2.4007039070129395,2.4087659548968077,0.441536009311676,0.45084115117788315,23.61931258342988,1.005884977697516,1.0422887126919191,1.1516959381945815,198450176,486539264,1935986688
B,facebook/opt-125m,float16,4,0,1,1,256,decode_real_history,56702976,56702976,113405952,2.4007039070129395,2.4087659548968077,0.4196639955043793,0.42862759437412024,23.61931258342988,1.0037056266772546,1.0429296072949732,1.156077092428657,326608896,511705088,1935986688
B,facebook/opt-125m,float16,4,0,4,1,256,decode_real_history,56702976,56702976,113405952,2.4007039070129395,2.4087659548968077,0.4390079975128174,0.44808152597397566,23.61931258342988,1.0062248728360175,1.0840804596452678,1.1678223160919918,236577792,511705088,1935986688
B,facebook/opt-125m,float16,8,0,1,16,0,short_prefill_proxy,113405952,113405952,226811904,4.799391984939575,4.807563032954931,0.8891519904136658,0.8984960149973631,23.629233110332788,1.006194154239304,1.0343338476064514,1.1575334921779978,332548096,459276288,1987874816
B,facebook/opt-125m,float16,8,0,4,16,0,short_prefill_proxy,113405952,113405952,226811904,4.799391984939575,4.807563032954931,0.9704799950122833,0.9802639251574874,23.629233110332788,1.0067475541240238,1.059170759772208,1.1909168649181991,334389760,461373440,1987874816
B,facebook/opt-125m,float16,8,0,1,32,0,short_prefill_proxy,113405952,113405952,226811904,4.799391984939575,4.807563032954931,0.9023360013961792,0.9118379093706608,23.629233110332788,1.0063075167650608,1.0262075585688217,1.1649114870593158,333160960,461373440,1987874816
